shipName,shipType,nationality,company
EL CUERVO,PAQUEBOTE,Spanish,
Naiade,6th Rate,British,RN
Unknown-07,,Dutch,
Olivier van Noord,,Dutch,
La Cantabria,Fragata correo,Spanish,
Portland,4th Rate,British,RN
Unknown-08,,Dutch,
Stad Zierikzee,,Dutch,
Syren,,British,RN
Drie Vrienden,,Dutch,MER
Claudius Civilis,,Dutch,
Nieuwe Hoop,Snauw,Dutch,MCC
Lark,,British,RN
Argo,5th rate,Dutch,
Unknown-12,,Dutch,
Infanta,Fragata correo,Spanish,
Gosport,5th Rate,British,RN
Princes Carolina,,Dutch,ADM
Expedition,5th rate,British,RN
SANTA MARA DE LA CAVEZA,DESCONOCIDO,Spanish,
Juno,Fregat,Dutch,ADM
Castor,Fregat,Dutch,Marine
Shoreham,6th Rate,British,RN
Rattlesnake,Sloop,British,RN
Iphigenia,5th Rate,British,RN
Le Barbeau,,French,
Onverwagt,Whaler,Dutch,WHA
Cruizer,Sloop,British,RN
Broederslust,Hoekerschip,Dutch,VOC
Gier,Brik,Dutch,MAR
Echo,Brik,Dutch,
Delphina,,Dutch,
Spaarzaamheid,,Dutch,VOC
Lhipocrite,Corvette,French,
SAN JUSTO,NAVO,Spanish,
G_tha Leijon,,Swedish,Swedish East India Company
LA DESCUBIERTA,CORBETA,Spanish,
Camel,storeship,British,RN
Assistance,4th Rate,British,RN
Ceres,,British,EIC
Britannia,,British,EIC
Assurance,5th Rate,British,RN
Euryalus,5th Rate,British,RN
Ilchester,,British,EIC
Fairy,6th rate,British,RN
DESCONOCIDO-17,NAVO,Spanish,
Narcissus,6th Rate,British,RN
Raisonable,3rd rate,British,RN
Twee Cornelissen,,Dutch,
Henriette Clasina,,Dutch,MER
Goede Intentie,Hoekerschip,Dutch,VOC
Buitenzorg,,Dutch,
Proserpina,,Dutch,MAR
Amphitrite,,Dutch,
True Briton,,British,EIC
Inspector,sloop,British,RN
Squirrel,6th Rate,British,RN
Atlanta,Sloop,British,RN
Le Furet,Laviso,French,
Vrouw Maria Geertruida,Brik,Dutch,WIC
DESCONOCIDO-22,NAVO,Spanish,
SANTA LUCIA,FRAGATA,Spanish,
Maas,Fregat,Dutch,Marine
Flores,,Dutch,MAR
Vlietlust,,Dutch,VOC
GALLARDO,NAVO,Spanish,
Ambon,Schoener,Dutch,
EL JUPITER,FRAGATA,Spanish,
Druid,5th Rate,British,RN
Seahorse,,British,Hudson Bay Company
Meermin,,Dutch,ADM
Ceres,,Dutch,MAR
EL ANDALUZ,CHAMBEQUN,Spanish,
SANTA TERESA,PAQUEBOTE,Spanish,
Zaan,Fregat,Dutch,
Baleine,5th Rate,British,RN
Ramilles,3rd rate,British,RN
Sans Parcil,3rd Rate,British,RN
DESCONOCIDO-03,FRAGATA,Spanish,
Earl of Middlesex,,British,EIC
Poulette,6th rate,British,RN
Vrouwe Johanna Catharina,,Dutch,
Lilly,sloop,British,RN
LIEBRE,FRAGATA,Spanish,
Duke of Dorset,,British,EIC
Proteus,Bark,Dutch,
LActif,,French,
Vr. Elisabeth & Anna Catherina,,Dutch,MER
Ganges,3rd rate,British,RN
Tilbury,,British,EIC
SAN JOSE,NAVIO,Spanish,
Diligence,Sloop,British,RN
Jonge Jan,,Dutch,ADM
Maas,Fregat,Dutch,MAR
Minerva,5th rate,British,RN
Calcutta,,British,EIC
EL QUIROS,PAQUEBOTE,Spanish,
Emerald,5th rate,British,RN
MAGALLANES,NAVIO,Spanish,
Jason,,Dutch,ADM
