obsDate,Latitude,Longitude,voyageID,memoText,memoType,locationID
1767-10-24,26.7,-27.1333,20333,Winds today du E au ESE; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306633
1767-10-25,25.9167,-28.5667,20333,Winds today au E; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: un peu houleuse.,weatherReport,306634
1767-11-03,17.2167,-47.0833,20333,Winds today du ESE; Winds blowing bon petite frais. Weather notes: beau temps.,weatherReport,306635
1768-02-27,23.0833,-65.1333,19002,Winds today du NE au E 1/4 NE; Winds blowing gros frais.,weatherReport,306636
1768-02-28,24.7,-66.2167,19002,Winds today du NE au NE 1/4 E; Winds blowing gros frais. Sea conditions: houleuse.,weatherReport,306637
1768-02-29,26.2167,-67.1667,19002,Winds today du NE au NE 1/4 E; Winds blowing bon frais.,weatherReport,306638
1768-03-01,27.7,-67.4333,19002,Winds today du ENE au NE 1/4 E; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306639
1768-03-02,28.45,-66.5167,19002,Winds today du E 1/4 SE au SE;,weatherReport,306640
1768-03-03,29.2,-64.8167,19002,Winds today du S au SE; Winds blowing petite frais.,weatherReport,306641
1768-03-04,30.2,-61.9833,19002,Winds today du SO au OSO; Winds blowing bon frais.,weatherReport,306642
1768-03-05,30.55,-60.3667,19002,Winds today au NO; Winds blowing bon petite frais.,weatherReport,306643
1768-03-07,32.05,-56.4667,19002,,weatherReport,306644
1768-03-08,34.2667,-52.05,19002,Winds today du S au S 1/4 SE; Winds blowing gros frais.,weatherReport,306645
1768-03-09,36.0333,-48.0,19002,Winds today du SSO au OSO; Winds blowing bon frais. Weather notes: pluvieux. Sea conditions: houleuse.,weatherReport,306646
1768-03-10,37.3333,-45.15,19002,Winds today au SO; Winds blowing bon frais. Sea conditions: houleuse.,weatherReport,306647
1768-03-11,39.0,-42.3833,19002,Winds today du NNO au NO; Winds blowing bon frais. Weather notes: pluvieux. Sea conditions: houleuse.,weatherReport,306648
1768-03-12,39.7167,-40.2667,19002,Winds today du SSE au SE; Winds blowing bon frais.,weatherReport,306649
1768-03-13,40.8167,-40.8667,19002,Winds today du SE; Winds blowing bon frais. Weather notes: pluvieux et par grain. Sea conditions: houleuse.,weatherReport,306650
1768-03-14,42.3,-38.8167,19002,Winds today au SE; Winds blowing gros frais. Weather notes: pluvieux .,weatherReport,306651
1764-06-15,44.4167,-9.88333,21050, Winds blowing trs variable. Weather notes: brumeux. Sea conditions: grosse.,weatherReport,306652
1764-06-17,43.95,-10.4667,21050, Winds blowing presque calme. Weather notes: variable.,weatherReport,306653
1764-09-03,41.7667,-40.8333,18267,Winds today au SSE; Winds blowing bon frais. Sea conditions: belle.,weatherReport,306654
1764-09-04,42.1833,-38.6333,18267,Winds today au SE; Winds blowing bon frais. Sea conditions: grosse.,weatherReport,306655
1764-09-05,43.05,-36.9333,18267,Winds today du S; Winds blowing gros frais. Sea conditions: dure et clapoteuse.,weatherReport,306656
1764-09-06,43.9167,-36.35,18267, Winds blowing calme plat.,weatherReport,306657
1764-09-07,44.1333,-36.35,18267,Winds today au NE; Winds blowing presque calme.,weatherReport,306658
1764-09-08,45.3333,-34.7833,18267,Winds today au SE et SSE; Winds blowing petite frais. Sea conditions: belle.,weatherReport,306659
1764-09-09,45.15,-30.9833,18267,Winds today au S; Winds blowing gros frais. Sea conditions: peu grosse.,weatherReport,306660
1764-09-10,45.5333,-27.1333,18267,Winds today au SSO; Winds blowing gros frais. Sea conditions: trs grosse.,weatherReport,306661
1764-09-11,45.9333,-23.7667,18267,Winds today du N au O; Winds blowing bon frais. Sea conditions: houleuse.,weatherReport,306662
1764-08-25,33.9167,-60.1,18267,Winds today du OSO; Winds blowing fraicheur.,weatherReport,306663
1764-08-26,35.0833,-58.25,18267,Winds today au ONO; Winds blowing peu frais.,weatherReport,306664
1764-08-27,35.8167,-56.7833,18267,Winds today du OSO au NNO; Winds blowing par grains.,weatherReport,306665
1764-08-28,36.8,-55.5667,18267,Winds today depuis SSO jusqu au NNO; Winds blowing calme.,weatherReport,306666
1764-08-29,37.9,-54.0833,18267,Winds today du SO au NO; Winds blowing calme.,weatherReport,306667
1764-08-30,38.25,-53.4333,18267, Winds blowing calme.,weatherReport,306668
1764-09-01,39.8667,-47.4667,18267,Winds today du SSO au SE; Winds blowing variable. Sea conditions: belle.,weatherReport,306669
1764-09-02,41.2167,-44.05,18267,Winds today au SSE; Winds blowing gros frais. Sea conditions: grosse.,weatherReport,306670
1764-08-24,33.6,-60.5667,18267,Winds today du NO; Winds blowing bon frais.,weatherReport,306671
1764-06-18,43.95,-11.1333,21050,Winds today au SO; Winds blowing variable.,weatherReport,306672
1764-06-19,43.3167,-13.1,21050,Winds today du SSE au SSO; Winds blowing bon frais.,weatherReport,306673
1764-06-20,43.0833,-14.6667,21050,Winds today du SSO au SO; Winds blowing trs gros frais. Weather notes: brumeux. Sea conditions: grosse.,weatherReport,306674
1764-06-21,42.2333,-15.2833,21050,Winds today du SE au NO; Winds blowing tres variable. Weather notes: mal de grains.,weatherReport,306675
1764-06-22,41.05,-16.2333,21050,Winds today du SO au NNE; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306676
1764-06-23,39.3833,-17.6,21050,Winds today au NE; Winds blowing joly frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306677
1764-06-24,37.3167,-19.4667,21050,Winds today du NE au NO; Winds blowing bon frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306678
1764-06-25,35.9833,-20.9,21050,Winds today du NNO au ONO; Winds blowing variable. Sea conditions: peu grosse.,weatherReport,306679
1764-06-26,34.2333,-21.8167,21050,Winds today du ONO au N; Winds blowing trs gros frais. Weather notes: mal de grains.,weatherReport,306680
1764-06-27,32.8667,-22.2167,21050,Winds today du NO au ONO; Winds blowing petite frais. Sea conditions: grosse et houleuse.,weatherReport,306681
1764-06-28,31.6333,-23.15,21050,Winds today du NNO au NNE; Winds blowing petite frais. Sea conditions: belle.,weatherReport,306682
1764-06-29,30.5167,-25.15,21050,Winds today du NE; Winds blowing joly frais.,weatherReport,306683
1764-07-01,28.3,-29.7,21050,Winds today du NE au E; Weather notes: mal de grains.,weatherReport,306684
1764-07-02,27.1833,-31.6333,21050,Winds today au NE; Weather notes: beau temps. Sea conditions: belle.,weatherReport,306685
1764-07-03,26.0333,-33.6833,21050,Winds today au NE; Weather notes: beau temps.,weatherReport,306686
1764-07-04,24.8833,-35.95,21050,Winds today au ENE; Weather notes: beau temps. Sea conditions: belle.,weatherReport,306687
1764-07-05,23.5167,-38.45,21050,Winds today au NE; Winds blowing bon frais. Weather notes: mal de grains.,weatherReport,306688
1764-07-06,22.0167,-40.5167,21050,Winds today au E; Weather notes: beau temps.,weatherReport,306689
1764-07-07,20.6333,-42.8667,21050,Winds today au E et ESE; Weather notes: mal de grains.,weatherReport,306690
1764-07-08,19.05,-45.4833,21050,Winds today au ESE; Winds blowing gros frais. Weather notes: par grains.,weatherReport,306691
1764-07-09,17.0,-47.7,21050,Winds today au E; Winds blowing gros frais. Sea conditions: grosse.,weatherReport,306692
1764-07-10,16.1,-50.35,21050,Winds today au NE; Winds blowing bon frais.,weatherReport,306693
1764-07-11,14.3667,-52.0667,21050,Winds today au NE; Winds blowing petite frais. Sea conditions: clapoleuse.,weatherReport,306694
1764-07-12,14.2333,-54.8,21050,Winds today au E; Winds blowing petite frais.,weatherReport,306695
1764-07-13,14.4,-57.3,21050,Winds today au E; Winds blowing bon frais. Sea conditions: grosse.,weatherReport,306696
1764-07-15,14.6,-61.08,21050,Fort Royal,anchorPlace,306698
1764-07-14,14.5,-60.2667,21050,Winds today au E; Winds blowing variables. Weather notes: par grains.,weatherReport,306697
1764-07-15,14.6,-61.08,21050,Mouill dans la Rade du fort Royal,otherRemmarks,306698
1764-07-15,14.6,-61.08,21050,Winds today au E; Weather notes: par grains.,weatherReport,306698
1764-08-12,22.0,-74.5667,18267,Depart du Cap,otherRemmarks,306699
1764-08-12,22.0,-74.5667,18267, Winds blowing tres faible.,weatherReport,306699
1764-08-13,23.6333,-74.4333,18267,,weatherReport,306700
1764-08-14,24.55,-74.0667,18267,Winds today au E et ESE; Winds blowing petite frais.,weatherReport,306701
1764-08-15,25.4167,-72.6833,18267,Winds today au SE;,weatherReport,306702
1764-08-16,26.4667,-71.2667,18267,Winds today au SE et ESE; Winds blowing petite frais.,weatherReport,306703
1764-08-17,27.7667,-70.0333,18267,Winds today au ESE; Winds blowing grains.,weatherReport,306704
1764-08-18,29.3833,-69.0667,18267,Winds today du E au SE;,weatherReport,306705
1764-06-14,46.0333,-3.33667,21050,Depart de Rochefort pour la Martinique,otherRemmarks,306706
1764-06-14,46.0333,-3.33667,21050,Winds today du N au NNE; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306706
1764-06-15,45.0667,-8.03333,21050,Winds today du N au NNE; Winds blowing petite frais. Weather notes: beau temps.,weatherReport,306707
1764-08-19,30.4333,-67.7333,18267,Winds today du E au ESE; Winds blowing peu frais. Sea conditions: clapoleuse.,weatherReport,306708
1764-08-20,31.9167,-67.05,18267,Winds today au E; Winds blowing presque calme.,weatherReport,306709
1764-08-21,32.55,-66.8167,18267, Winds blowing calme.,weatherReport,306710
1764-08-22,33.15,-65.2333,18267,Winds today au SSO; Winds blowing petite frais. Sea conditions: belle.,weatherReport,306711
1764-08-23,33.65,-62.65,18267,Winds today au SSO; Winds blowing joly frais.,weatherReport,306712
1764-09-12,45.2667,-20.6333,18267,Winds today du NO au O; Winds blowing bon frais. Sea conditions: grosse.,weatherReport,306713
1764-09-13,45.2167,-16.0,18267,Winds today du O au NO; Winds blowing gros frais. Sea conditions: trs grosse.,weatherReport,306714
1764-09-14,46.1667,-13.3333,18267,Winds today du OSO au NO; Winds blowing bon frais. Sea conditions: grosse.,weatherReport,306715
1764-09-15,46.7,-9.43333,18267,Winds today du NO au SO; Winds blowing trs violent.,weatherReport,306716
1764-09-16,46.7167,-5.23333,18267,danthioche,anchorPlace,306717
1764-09-16,46.7167,-5.23333,18267,a 9 hs mouille danthioche,otherRemmarks,306717
1764-09-16,46.7167,-5.23333,18267,Winds today du O au NO; Winds blowing bon frais.,weatherReport,306717
1753-07-19,33.4833,-54.7333,19368,Winds today du SSE au SSO;,weatherReport,306718
1753-07-20,34.2,-53.7167,19368,Winds today du SSO au OSO; Winds blowing calme.,weatherReport,306719
1753-07-21,34.6833,-52.9833,19368,Winds today du OSO; Winds blowing petite frais. Sea conditions: belle.,weatherReport,306720
1753-07-22,35.5833,-51.4667,19368,Winds today du OSO au NO; Winds blowing bon frais.,weatherReport,306721
1753-07-23,37.6333,-48.6667,19368,Winds today du SO au O;,weatherReport,306722
1753-07-24,39.75,-45.8667,19368,Winds today du OSO au O; Winds blowing grand frais. Weather notes: beau temps.,weatherReport,306723
1753-07-25,40.7,-44.2,19368,Winds today du NO au NE; Winds blowing petite frais.,weatherReport,306724
1753-07-26,41.1667,-42.7,19368,Winds today du OSO au ONO au SE;,weatherReport,306725
1753-08-03,47.45,-32.5333,19368,Winds today au NE; Winds blowing bon frais.,weatherReport,306726
1753-08-04,46.5833,-32.4667,19368,Winds today du SE au SSE;,weatherReport,306727
1753-08-05,48.2333,-29.9,19368,Winds today du SO au N; Weather notes: brume.,weatherReport,306728
1753-08-06,48.35,-26.4667,19368,Winds today du NO au O; Weather notes: beau temps.,weatherReport,306729
1753-08-07,48.5333,-22.8833,19368,Winds today du NO au O; Winds blowing petite frais.,weatherReport,306730
1753-08-08,48.6667,-18.6,19368,"Winds today du NNO, N et NNE; Winds blowing bon frais.",weatherReport,306731
1753-08-09,48.5333,-17.2,19368,Winds today du NNO au SSO; Winds blowing variable.,weatherReport,306732
1753-08-10,48.25,-14.7,19368,Winds today du NE au ENE; Winds blowing bon frais.,weatherReport,306733
1753-08-11,48.6167,-12.65,19368,Winds today au N et NNO variable au SO; Winds blowing bon frais. Sea conditions: grosse.,weatherReport,306734
1753-08-12,48.65,-10.25,19368,,weatherReport,306735
1753-08-13,48.85,-6.66667,19368, Winds blowing grand vent.,weatherReport,306736
1753-08-14,48.2833,-3.73333,19368,Brest,anchorPlace,306737
1753-08-14,48.2833,-3.73333,19368,Mouill dans la Rade de Brest,otherRemmarks,306737
1753-08-14,48.2833,-3.73333,19368,Winds today au ONO; Winds blowing grand frais.,weatherReport,306737
1752-12-31,47.4667,-9.0,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306738
1752-12-31,47.4667,-9.0,18138,,weatherReport,306738
1753-01-01,44.8833,-12.6,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306739
1753-01-01,44.8833,-12.6,18138,Winds today au NNE et NE; Winds blowing bon frais.,weatherReport,306739
1753-01-02,41.7333,-14.4,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306740
1753-01-02,41.7333,-14.4,18138,Winds today au NE; Winds blowing bon frais.,weatherReport,306740
1753-01-03,37.7833,-15.6,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306741
1753-01-03,37.7833,-15.6,18138,Winds today du NNE au NNO; Winds blowing grand frais.,weatherReport,306741
1753-01-04,36.1333,-17.3,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306742
1753-01-04,36.1333,-17.3,18138,Winds today du NNE au NNO; Winds blowing grand frais.,weatherReport,306742
1753-01-05,34.3333,-18.85,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306743
1753-01-05,34.3333,-18.85,18138,Winds today du O 1/4 SO au O 1/4 NO;,weatherReport,306743
1753-01-06,32.75,-18.0667,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306744
1753-01-06,32.75,-18.0667,18138,Winds today du NNE au O; Winds blowing variable.,weatherReport,306744
1753-01-07,30.7167,-19.1,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306745
1753-01-07,30.7167,-19.1,18138,,weatherReport,306745
1753-01-08,28.6667,-21.6,18138,"Martinique a la Dominique, Dainte Lucie, Saint Vincent, la Guadaloupe, la Barbade",otherRemmarks,306746
1753-01-08,28.6667,-21.6,18138,Winds today du NNE au NNO; Winds blowing grand vent. Weather notes: par grain. Sea conditions: grosse.,weatherReport,306746
